#Ver.2025.03.13
#com3d2plg
bg-en.arc,bg English version
csv_dlc347.arc,戯画・アイキス2・コスチューム＆ダンス フルセット
csv_dlc372.arc,クリスマスカラオケSP
csv_dlc504set.arc,コスチュームセットVol.50『ラグジュアリーSP』withモーションプラス
csv_eventplus_childhood.arc,夜伽＆カラオケ付き幼馴染らぶらぶ同棲パック
csv_eventplus_curtness.arc,カスタムオーダーメイド3D2 夜伽＆カラオケ付き無愛想らぶらぶ同棲パック
csv_eventplus_dame.arc,カスタムオーダーメイド3D2 夜伽&カラオケ付き淑女らぶらぶ同棲パック
csv_eventplus_devilish.arc,夜伽＆カラオケ付き小悪魔らぶらぶ同棲パック『ノーマル＆ハイポリボディ版』withプチデビルメイド服
csv_eventplus_friendly.arc,夜伽&カラオケ付き気さくらぶらぶ同棲パック
csv_eventplus_ladylike.arc,夜伽＆カラオケ付きおしとやからぶらぶ同棲パック
csv_eventplus_missy.arc,夜伽＆カラオケ付きお嬢様らぶらぶ同棲パック
csv_eventplus_secretary.arc,夜伽&カラオケ付きメイド秘書らぶらぶ同棲パック『ノーマル＆ハイポリボディ版』withセクレタリーメイド服
csv_eventplus_silent.arc,夜伽&カラオケ付き文学少女らぶらぶ同棲パック
csv_eventplus_sister.arc,夜伽＆カラオケ付き妹らぶらぶ同棲パック
csv_exm001.arc,カスタムオーダーメイド3D2専用プラグイン エキストラメイド12名追加パック
csv_explus001.arc,ド変態ドM&腹黒メイド服『ハイポリボディ版』+EXキャラビジュアル強化パック
csv_feswinter2022.arc,エンパイアフェスティバルパック 2022 winter
csv_franchise001.arc,事業拡大パック『ラブホテル』『ノーマル＆ハイポリボディ版』Ver.文学少女、小悪魔、おしとやか
csv_franchise001_add.arc,事業拡大パック『ラブホテル』『ノーマル＆ハイポリボディ版』Ver.文学少女、小悪魔、おしとやか
